en_clean,ar_clean
what made matters worse was the superstitious belief that if a sick person wanted to be cured they had to hug a healthy person,والاسوء ان كان في خرافة وقتها بتقول ان الشخص المصاب بالطاعون وعايز يشفي منه، يحضن شخص سليم
the disease would then be passed to a healthy person,فتنتقل العدوي منه تروح للسليم ويشفي هوز
that was one of the most important reasons for the spread of the disease,وده طبعا، كان من اهم اسباب انتشار المرض
im sure that none of their five senses are working at the moment,انا متاكد انهم عندهم دلوقتي شلل في ال حواس
if i change the subject no one will notice,ولو غيرت كلامي فجاة محدش هياخد باله
the main reason for a price increase is people fear the scarcity of essential goods,ومن اهم اسباب زيادة الاسعار هو خوف المواطن من شح السلع الاساسية
is that clear,واضح؟
any questions,اي اسيلة؟
why did you break up with howaida,انت سيبت هويدا ليه؟
why did you go through all of this to leave her,وليه تعمل كل ده علشان تنقذ واحدة وبعدين تسيبها؟
did i ask you why you got a divorce,هو انا سالتك انت اتطلقتي ليه؟
you didnt because youre a coward,ماسالتش علشان انك جبان
am i a coward,انا جبان؟
yes,اه
youre not easily frightened by a mummy or a desert monster still youre scared of getting closer to someone and expressing your feelings youre afraid of opening up its your true monster,يمكن مش بتخاف من موميا ولا وحش في الصحرا، بس لسه خايف تقرب من حد تقوله اللي جواك، خايف تفتح قلبك، وهو ده الوحش الحقيقي
why did you come to egypt knowing that im a coward,ومادام انت عارفة ان انا جبان، ليه جيتي مصر؟
for research or in the hope that id take the initiative,علشان البحث ولا امل منك اني اتشجع يا ماجي؟
im sorry to disappoint you im still a coward,انا اسف اني احبطك واقولك اني لسه جبان
i have to be a coward and be afraid that someone might get hurt because of me,ولازم افضل جبان واخاف اوي ان حد غيري يتادي بسببي
especially if a loved one,وخصوصا لو بحبه
dont assume that youre the reason behind peoples suffering or joy,غرور منك لو فاكر انك انت السبب ورا اذاهم او سعادتهم
or that only you know how to protect them,او انك انت قادر تقرر ازاي تحميهم
what i love the most about maggie is her ability to express her thoughts,اكتر حاجة بحبها في ماجي انها قادرة تقول اللي بتفكر فيه
without any embellishments without thinking,من غير اي تجميل ومن غير اي تفكير
what are you thinking about now refaat,قول اللي فكرت فيه دلوقتي يا رفعت
what i like about you the most is that you always say what you think,اكتر حاجة بحبها فيكي انك قادرة تقولي اللي بتفكري فيه
here you go i just expressed my feelings,اهو بقول اللي جوايا زي ما هو
are you happy now,اتبسطتي؟
and what happened when you did,وايه اللي حصل لما قولته؟
did someone die,حد مات؟
hello,الو؟
hello,الو؟
nagat,نجاة؟
yes nagat,ايوة يا نجاة
yes what happened,ايوه ايه اللي حصل؟
hello,الو
my mother,امي
whats wrong,مالها؟
my sisterinlaw called from the village crying and said i should go there immediately,دي مرات اخويا من البلد بتعيط وبتقولي تعالي حالا
something wrong must have happened to my mother,اكيد امي جرالها حاجة
as louis said that card means ill lose someone,ده الكارت اللي لوي قالي انه معناه انك حتفقد حد
talaat take extra clothes,طلعت، هات غيار معاك
we might spend the night there,احتمال نبيت
dont worry hopefully shell be fine,ما تقلقيش يا ابلة، ان شاء الله تكون ستي بخير
hopefully,ان شاء الله
heres the key,المفتاح اهو
take care of the children especially taha,خلي بالك علي الولاد، وبالخصوص طه
come on talaat were running late,يالا يا طلعت هنتاخر
talaat,يا طلعت
i cant find underwear in the drawer raeefa,رييفة مش لاقي غيارات في الدرج
meaning what,يعني ايه؟
did they take off,مشيوا لوحدهم؟
look again,متبص كويس
i did raeefa,بصيت يا رييفة
and what if i went there and found them,ولو دخلت جيبتهم؟
step aside,وسع، وسع
unbelievable i have to do everything myself,ما هو مش معقولة كده، كل حاجة لازم اعملها في البيت ده
your lives turn into a mess when im not here,من غيري بتغرقوا في شبر مية
howaida i wanted to talk to you about something,هويدا، كنت عايز اتكلم معاكي في موضوع
please have a seat,اتفضلي
i really dont want you to be mad at refaat,الحقيقة مش عايزك تزعلي من رفعت
refaat is hard to understand,هو رفعت كده محدش يفهمه
but had you seen how worried he was when you were ill you wouldve known he loved you,بس لو كنت شوفتيه كان عامل ازاي وانت تعبانة، حتعرفي قد ايه بيحبك
its pointless now,مالوش لزوم الكلام ده يا ابيه
i know for sure now that its not going to work,خلاص انا عارفة انه مفيش نصيب
after calming down and giving it some thought i realized that we dont belong together and that ill meet someone else someday,وكمان بعد ما الزعل انزاح وفكرت، احنا ماننفعش لبعض وعارفة غن نصيبي مع حد تاني
im better off this way,انا كده احسن
talaat,طلعت
what is this,ايه ده؟
is this the place where you played as kids,هو ده البيت اللي كنتم بتلعبوا فيه من زمان؟
dr refaat,دكتور رفعت
what a pleasant surprise,ده ايه الخطوة العزيزة دية؟
whats happening to the house,هم بيعملوا ايه في البيت ده؟
at least say hello first,طب يا دكتور قول سلامو عليكم
how are you dear something like that,احوالك ايه يا عوض؟
hello,سلامو عليكم
whats happening to the house,بيعملوا ايه في البيت؟
that man over there bought it and he wishes to demolish it,الافندي ده اشتراه وبيفكر يهده
its good that youre here,بركة انك جيت؟
wheres mom,امي فين؟
whats wrong mom,مالها امي؟
thank god,الحمد الله
nothing is wrong with her,امنا زي ما هي يا رفعت
whats the urgency for then,امال كلمتيني ليه علشان اجي كده؟
reda was summoned by a naiad,رضا ندهته النداهة
reda,رضا
reda,رضا
reda,رضا
hes been like this since he was summoned,هو بالشكل ده من ساعة ما اتنده
did he eat or drink something strange,هو اكل وشرب اي حاجة غريبة؟
no,لا
did he take any drugs,طيب، اتعاطي حاجة؟
he would never do such a thing doctor,مين ده اللي يستعطي حاجة يا دكتور
im telling you he was summoned by a naiad,النداهة ندهته
she might summon him again and that would be a disaster,يعني ممكن تنده للمرة التانية وساعتها هتبقي مصيبة
enough with that nonsense nagat,بس تخاريف يا نجاة بس
reda,رضا
reda,رضا
reda,رضا
looks like hes hearing something,شكله سامع حاجة
