EGY,ENG
هو الخروج بقى كدا دلوقتي؟‬,That's how you do it now?
‫بتاكلي لحمة إزاي؟‬,How do you like your meat?
‫اللحمة تتاكل rare.‬,Meat is best eaten rare.
‫بالكتير بقى medium rare.‬,Or medium-rare at most!
‫النهاردة هتاكلي على مزاجي.‬,You're eating my way today.
طارق، معلش أنا مضطرة أسألك.‬,"Tarek, I have to ask you."
‫طبعًا.‬,Yes.
‫هو ‫أنت جايبني هنا ليه؟‬,Why did you bring me here?
‫قريت reviews ‫عن المكان. ‬,I read nice reviews about the place.
‫لا بجد والله. ,I'm being serious.
أنا بتكلم بجد.,
‫المكان ده مكاني. ,It's my land.
دي أرضي.‬,
‫من ساعة ما روحت دبي مجتش هنا.‬,I haven't been here since Dubai.
‫وإنتي السبب إن أنا آجي.‬,I'm here thanks to you.
‫ما هو بالظبط بقى.‬ ,Exactly.
‫طب أنت بتعمل معايا كدا ليه؟‬,Why are you doing this?
‫يعني أنت جايبني أرضك وعاملي كل ده،‬ ‫ومهتم بيا كدا ليه يا طارق؟‬,"You brought me to your land, taking care of me. Why, Tarek?"
Because you're an underdog.‬,Because you're an underdog.‬
‫هو قال dog؟‬,Did he say dog?
‫يعني إيه اللي أنت قولتها دي؟‬,What does that mean?
‫طب ناوليني الأطباق دي.‬,Hand me those plates.
‫يعني إيه؟‬,What does it mean?
‫underdog.‬,underdog
‫يعني حد كل ظروفه بتقول إنه مش هينجح.‬,Someone who seems to have little chance of succeeding.
‫أه، وأنت بقى اللي بتخليه ينجح؟‬,And you'll make them succeed?
‫أنا اللي بخليه يصدق أنه ممكن ينجح. ,I'll make them believe that they can succeed.
إتفضلي.‬,Here.
‫يعني أنت مش معجب بيا؟‬,So you're not attracted to me?
‫أنا مقولتش كدا.‬,I didn't say that.
‫لا بجد طارق لا. ,Really.
أنا تعبت‬ ‫من الmixed signals خلاص. ,I'm tired of the mixed signals.
لا أنا فيا اللي مكفيني ‫وأنت فاهم كويس أوي أنا بتكلم عن إيه.‬,I already have my issues; you know what I'm talking about.
‫إنتي عارفة مشكلتك إيه يا علا؟‬,Know what your problem is?
‫إيه؟‬,What?
‫إنك فاهمة إن الحياة يا أبيض يا أسود.‬,You think that life is all black and white.
‫مع إنها مش كدا.‬,But it's not.
‫أقعد بالعيال ولا أشتغل؟‬,Do I take care of the kids or work?
‫هو بيعمل معايا المشروع ده‬ بيزنيس ولا معجب بيا؟‬,"Is he in it as a business thing, or does he like me?"
‫لا، الموضوع مش كدا.‬,That's not the case.
‫إنتي خلاص نزلتي الملعب.‬ ‫,You are in the game.
والملعب هات وخد.‬,And it's all about give and take.
‫مش لازم كل حاجة دلوقتي. ‬,It doesn't have to happen now.
‫أنا منكرش إن أنا إديتك‬ mixed signals.‬,I know I gave you mixed signals.
‫أهو، ها؟‬,See? You said it.
‫أه، ما أنا راجل بردو. ,I'm also a man.
وإنتي ست حلوة. ,And you're a beautiful woman. 
مش كدا؟‬,Right?
ميرسي,Thank you.
‫بس أنا مش هنا دلوقتي عشان كدا.‬,That's not why I'm here now.
‫يمكن وقت تاني. يمكن فرصة تانية.‬,Maybe another time somewhere down the line
‫السؤال المهم،‬ ‫إنتي هنا دلوقتي ليه؟‬,"But the main question is, why are you here?"
‫وحشتوني!‬,I've missed you.
‫كدا مفيش ولا مكالمة لماما؟‬,How could you not call me?
‫إتبسطوا فنسيتوني خالص؟‬,You had your fun and forgot about me.
‫وحشتوني أوي.‬,I've missed you.
‫ممكن تاخدي شنطتك وتوديها العربية ‫عشان عايزة أتكلم مع بابا شوية. ,Take your bags to the car. I want to have a word with Dad.
وحشتني.‬,I missed you.
‫مفتوحة ها.‬,It's unlocked.
هاي,Hi
هاي,Hi
‫معلش أنا انفعلت آخر مرة.‬,I'm sorry I overreacted.
‫إنت عندك حق. ,You're right.
أنا مش هعرف أعمل كل حاجة لوحدي‬ ‫فإحنا في شوية حاجات عايزين نتفاوض عليها.‬,I can't do it all alone. We need to discuss some things.
‫أوي أوي. أوكيه.‬,Okay
أوكي,Okay
‫توصيل الولاد للمدرسة يوم أنت ويوم أنا.‬,We'll take turns in dropping the kids.
‫أوقات مش هعرف عشان مواعيد شغلي.‬,"Sometimes, I have early appointments."
‫خلاص نشتركلهم في الباص ‫بس أنت اللي هتدفعه.‬,"We'll send them by bus, and you'll pay for it."
‫موافق، معنديش أي مشكلة. ,Agreed. I have no problem with that.
الموضوع سهل.‬,Easy.
أوكيه,Okay
‫طيب، مش كل ويك إند ‫يبقوا عندك.‬,Fine. You can't have them every weekend. 
‫ممكن تاخدهم في وسط الأسبوع،‬ ‫أنا كمان عايزة ألعب.‬,I want to have fun with them as well.
‫ممكن آخدهم في وسط الأسبوع‬ ‫بس مش هعرف أذاكرلهم.‬,"I don't mind weekdays, but no homework."
‫ماشي.‬,Fine.
‫طيب، بالنسبة للأجازات؟‬,What about holidays?
‫مرة هيبقوا عندك ومرة هيبقوا عندي.‬,We take turns.
‫أه بس عادي ممكن ساعات ناخدهم إحنا الاتنين.‬,"Sometimes, we can take them out together."
‫موافق بس من غير مامتك.‬,"Agreed, without your mom."
‫ولا مامتك!‬,Nor yours.
‫Deal.‬,Deal
‫Deal.‬,Deal
باي,Bye
باي,Bye
‫وحشتوني أوي.,I missed you.
إحكولي بقى.‬,Tell me everything.
‫عايزاكم تحكولي بالتفصيل‬ ‫عملتوا إيه مع بابا.‬,I want to know everything you did at your dad's.
‫إنت طبعًا مطلعتش من حمام السباحة. ,I'm sure you spent all your time in the pool.
‫عشرة في المية.‬,10%
‫خمسة في المية.‬,5%
‫7.5‬,Seven and a half.
‫Deal.‬,Deal
‫Deal.‬,Deal
‫مبروك.‬,Congrats
‫خمس خمسات؟‬,Khamas Khamsat?
‫مبروك شاركتي مشروع كلب بلدي.‬,You've partnered with an idiot.
‫تسلم إيدك يا طنط.‬,"Thank you, Auntie."
‫فكرتيني بريحة الحبايب.‬,You remind me of my mother.
‫أنا فتحت الصفحة. ,I created the page.
‫تعالوا بقى نصوّر أول فيديو.‬,Let's shoot our first video.
‫خلاص جاهزين؟ ,Ready? 
يلا بينا.‬,Let's go.
‫يلا.‬,Come on.
‫يلا، أول فيديو بقى.‬,Our first video.
‫على بركة الله يا جماعة.‬,"Fingers crossed, you guys!"
‫مش مصدقة. ,I can't believe it. 
ليمو جاهز؟‬,"Lemo, ready?"
‫أنا من غيرك مش هعرف أعمل حاجة، ها؟‬,I can't do a thing without you.
‫ركز معايا.‬,Stay with me.
‫ده إعلان عن المرهم اللي هي اخترعته.‬,It's an ad about her ointment.
‫مرهم؟‬,Ointment?
أوكيه، يالا,"Okay, let's go."
‫أنا اسمي علا عبد الصبور. ,I'm Ola Abdel Sabour.
أم وصيدلانية.‬,A mother and a pharmacist.
‫لحد من شهر كانت حياتي مختلفة تمامًا.‬,"Up until a month ago, my life was so different."
‫إيه اللي اختلف من شهر؟‬,What changed in one month?
‫اتطلقت.‬,I got divorced.
‫وزي ستات كتير حسيت إن حياتي خلصت.‬,"Like many women, I felt my life had ended."
‫بس بعد كدا اكتشفت إن الست مننا لما بتطلق،‬ ‫في حتة منها بتموت. ,"But then I realized that when a woman gets a divorce, a part of her dies. "
صح.‬,True.
‫بس في حتة تانية بتتولد.‬,But another part is born.
‫حتة بتاعتها هي بس.‬,A part that's all hers.
‫واكتشفت إني لسه عايشة ‫لما طلعت طاقتي في أكتر حاجة بحبها.‬,I realized I'm still alive when I focus on what I love most.
‫كل علبة من دول فيها خبرة الصيدلانية، ‫وفيها حب الأم،‬ ‫وفيها حنية البنت.‬,"Each jar is made with a pharmacist's experience, the mother's love, and the daughter's tenderness."
‫الكريمات اللي بعملها في البيت بقالي سنين‬ ‫هي اللي إديتني فرصة تانية.‬,The creams I've been making at home for years gave me a second chance.
‫عشان كلنا نستحق فرصة تانية.‬,We all deserve a second chance.
‫وعشان كدا أنا قررت أسميها Second Chance.‬,That's why I'm naming it Second Chance.
‫إيه؟ حلو؟‬,Do you like it?
‫حلو أوي.‬,It was awesome.
‫خلوه يطلع، خلاص خلصنا.‬,You can come out now.
‫برافو عليك يا حبيبي.‬,"Good job, sweetie."
‫كان حلو أوي، برافو عليكي.‬,That was awesome. Well done.
‫بجد؟ بجد يا ماما؟‬,"Really, Mom?"
‫أوي أوي. كنتي جميلة.‬,"Yes, you were great."
برافو,Well done.
‫thank you يا زينة.‬,"Thank you, Zeina."
‫إيه الحلاوة دي؟ ,You were amazing.
إيه الحلاوة دي؟‬,Well done.
‫عندنا كريمات. عندنا ماركة. ‬,We have creams and a brand.
‫عملنا إعلان.‬,We made a commercial.
‫جالك ورد يا أم سليم.‬,"Flowers for you, Um Salim."
‫بس مش من أبو سليم.‬,Not from Abu Salim.
‫وأنت إيش عرفك؟,How do you know?
أنت لحقت تقرا الكارت؟‬,Did you read the card?
‫وأنا بقرا يا هانم ده أنا…‬,I can't read.
‫مبروك.‬,Congrats.
‫إنتي كدة ما بقيتيش محتاجالي.‬,You don't need me anymore.
‫هشوفك في فرصة تانية.‬,I hope to see you again.
طارق ذهني,Tarek Zohni.
‫لحق؟‬,Already?
‫معلش يا جماعة أخرتكم.‬,"Sorry, I kept you waiting."
‫لا، ولا يهمك.‬,No problem.
‫بس الsystem down.‬,We had an issue. The system is down.
‫طيب. خلاص إحنا كدا قفلنا الjoint account ‫زودنا عنوان هشام الجديد على النظام،‬‫ وعملنا حساب لـعلا ‬‫هيتحط فيه فلوس مصاريف الولاد كل شهر.‬,"Anyway, we closed the joint bank account, put Hisham's address in the system, and opened a new account for Ola for monthly child support payments."
‫كل ده والsystem down؟‬,Did you do all that with the system down?
‫لا إنتي بتصنعي المعجزات يا سها طول عمرك.‬,"You're quite the miracle worker, Soha. Always on top of it."
‫لا خالص. ,Not at all. 
إحنا بس اتعودنا.‬,This is just routine.
‫من كتر حالات الطلاق ومشاكل النفقة.‬,We deal with alimony and divorce settlements all the time.
‫بس إنتوا بصراحة كنتوا متحضرين جدًا.‬,And you've kept it pretty civil.
‫أنا بس عشان عارف إن علا مش بتشتغل‬ ‫وكانت مدية كل وقتها للولاد،‬ ‫أنا كمان أنا عرضت عليها مصروف شخصي شهري.‬,"And since Ola stays at home and all her time is dedicated to the kids, I also offered to pay monthly alimony to her."
‫لو هي تحب يعني أنا ممكن أعمل كدا‬، معنديش أي مشكلة خالص.‬,"I mean, if she wants, I'm more than happy to."
‫وأنا قولتلك إن أنا مش هاخد مصروف‬ ‫عشان آخد بالي من ولادي,I told you I won't take your money to look after my kids.
‫أنا هاخد مصروف الولاد وبس.‬,"You can pay child support, and that's the end of it."
‫يعني هتصرفي على نفسك منين؟‬,But how will you afford that?
‫هشتغل.‬,I'll get a job.
هتشتغلي إيه يا علا؟‬,"What are you talking about, Ola?"
‫ده fresh graduates مش لاقيين.‬,There are no entry-level jobs.
‫مش أنا قولتلك؟‬,How many times did I tell you?
‫أنا قولتلك من الأول متسبيش شغلك.,"Keep on working, don't quit."
‫هو مش ابن خالتي؟ بس مفيش راجل يستاهل.‬,"He may be my cousin, but no man is worth that."
‫إنتي صح. ,Right. 
إنتي صح.‬,You were right.
‫نمضي فين بقى عشان أنا لازم أمشي؟‬,Where do we sign? I have to go.
‫هشوفكوا بليل عند رنا وشريف؟‬,Are you coming to the dinner at Rana and Sherif's?
sorry آسفة يا جماعة. معلش.‬,"Sorry, my bad. "
‫لسه مش متعودة عليكوا وإنتوا متطلقين معلش.‬,I'm still not used to the two of you being divorced.
‫مش لوحدك.‬,Me neither.
‫رنا فيها الخير عزمتني بس مش هقدر آجي.‬,"Rana invited me, it was nice of her, but I can't make it."
‫يا علا!‬,Ola.
‫إيه؟‬,Yes?
‫اوعوا تفتكروا إن هو بيجري ورايا‬ ‫عشان ندمان وعايز يرجع والكلام ده.‬,Do you think he's chasing after me because he's sorry about everything and wants to get back together?
